sample,lines,tokens,analysis_ms,trees_ms,pattern_dispatch_ms,hashing_ms,analysis_items,trees_items,pattern_dispatch_items,hashing_items,total_ms,detected_patterns,doc_targets,unit_test_targets
negative/plain_class_no_pattern.cpp,16,44,18,0,0,0,0,0,9,9,18,9,1,4
wrapping/logging_proxy.cpp,32,90,16,0,0,0,0,0,22,22,16,22,2,4
singleton/config_registry.cpp,34,84,17,0,0,0,0,0,10,10,17,10,1,6
factory/shape_factory.cpp,40,103,11,0,0,0,0,0,40,40,11,40,4,7
method_chaining/query_predicate.cpp,34,72,11,0,0,0,0,0,11,11,11,11,1,3
pimpl/pimpl_basic.cpp,37,75,12,0,0,0,0,0,19,19,12,19,1,4
builder/http_request_builder.cpp,51,105,12,0,0,0,0,0,20,20,12,20,2,4
strategy/strategy_basic.cpp,47,132,12,0,1,0,0,0,43,43,13,43,4,7
usages/usages_basic.cpp,35,156,10,0,0,0,0,0,9,9,10,9,1,6
mixed/mixed_classes.cpp,27,86,10,0,0,0,0,0,19,19,10,19,2,8
integration/all_patterns.cpp,132,339,10,0,1,0,0,0,103,103,11,103,10,22
